"","Country","FLE_524_Q7_6","FLE_524_Q7_7","FLE_524_Q7_8","FLE_524_Q8_1","FLE_524_Q8_2","FLE_524_Q8_3","FLE_524_Q1_1","FLE_524_Q3","FLE_524_Q4_1","FLE_524_Q4_2","FLE_524_Q4_3","FLE_524_Q4_4","FLE_524_Q4_5","FLE_524_Q4_6","FLE_524_Q5_1","FLE_524_Q5_2","FLE_524_Q7_2","FLE_524_Q7_4","FLE_524_Q7_5","FLE_524_Q1_3","FLE_524_Q1_4","FLE_524_Q1_6","FLE_524_Q1_7","FLE_524_Q1_8","FLE_524_Q1_9","FLE_524_Q4_7"
"1","AT",0.474705474705475,0.642424242424242,0.498029944838455,0.529157667386609,0.604683195592286,0.569565217391304,0.730820105820106,0.457994579945799,0.631533847472151,0.529982363315697,0.451754385964912,0.423351158645276,0.357575757575758,0.368286445012788,0.489120974760661,0.455743879472693,0.470175438596491,0.64642375168691,0.493055555555556,0.464212678936605,0.479497354497354,0.681571815718157,0.586883029073698,0.414141414141414,0.68870523415978,0.571184995737425
"2","BE",0.464625850340136,0.515750915750916,0.480083857442348,0.519945909398242,0.59148369926813,0.47543160690571,0.669365721997301,0.434219495569189,0.502861230329042,0.546176046176046,0.478985507246377,0.450171821305842,0.484463276836158,0.495014245014245,0.519137091162143,0.497967479674797,0.512244897959184,0.644135188866799,0.477441077441077,0.367656765676568,0.422666666666667,0.608,0.534666666666667,0.39,0.692982456140351,0.597077244258873
"3","BU",0.207317073170732,0.494202898550725,0.172839506172839,0.408602150537634,0.356527501656726,0.282930107526882,0.411605937921727,0.155419222903885,0.254098360655738,0.263157894736842,0.268849206349206,0.294270833333333,0.159772911597729,0.281893004115226,0.17737003058104,0.175319789315275,0.219409282700422,0.524291497975709,0.185034013605442,0.347854785478548,0.402693602693603,0.545454545454545,0.624737945492662,0.649966599866399,0.657657657657658,0.341904761904762
"4","CY",0.249275362318841,0.568965517241379,0.161744022503516,0.405857740585774,0.442119944211994,0.390041493775934,0.359504132231405,0.163841807909605,0.326633165829146,0.361111111111111,0.292483660130719,0.282170542635659,0.243827160493827,0.293269230769231,0.352136752136752,0.314814814814815,0.252824858757062,0.465277777777778,0.229437229437229,0.369294605809129,0.511299435028249,0.407876230661041,0.552301255230126,0.468660968660969,0.452074391988555,0.4
"5","CZ",0.412017167381974,0.438709677419355,0.33974358974359,0.544561403508772,0.550577053632043,0.47768479776848,0.606310013717421,0.39178844815588,0.472573839662447,0.458842705786471,0.45985401459854,0.462745098039216,0.333333333333333,0.45959595959596,0.387345679012346,0.424170616113744,0.41648590021692,0.648336727766463,0.392439862542955,0.38765928906774,0.460863697705803,0.548654244306418,0.571233810497614,0.582484725050917,0.710773680404917,0.540996168582375
"6","DE",0.414669571532317,0.54176804541768,0.414393939393939,0.529661016949153,0.578551912568306,0.536351165980796,0.828241683638832,0.488983653162758,0.604906937394247,0.523089840470193,0.481108312342569,0.515565679574791,0.45873786407767,0.483870967741935,0.573170731707317,0.51984126984127,0.508960573476703,0.616531165311653,0.49555099247091,0.441460055096419,0.514031485284052,0.753086419753086,0.6440329218107,0.524398625429553,0.687413554633472,0.571314102564103
"7","DK",0.685092127303183,0.615321923390383,0.601132686084142,0.676409185803758,0.663187195546277,0.6321094312455,0.919471947194719,0.728601252609603,0.628019323671498,0.610240334378265,0.542483660130719,0.588178294573643,0.497801231310466,0.675287356321839,0.678543151227237,0.65140562248996,0.646441947565543,0.842535787321063,0.695744680851064,0.594320486815416,0.620644312952005,0.870858688302907,0.771604938271605,0.746031746031746,0.801801801801802,0.620723362658847
"8","EE",0.62938105891126,0.578518518518519,0.517189835575486,0.602061855670103,0.648336727766463,0.487872487872488,0.868830290736984,0.597872340425532,0.63544536271809,0.658143939393939,0.519962859795729,0.539763113367174,0.494974874371859,0.566835871404399,0.646778042959427,0.58078231292517,0.612094395280236,0.734270414993307,0.50697350069735,0.740294511378849,0.696058784235137,0.705234159779614,0.777116402116402,0.657314629258517,0.767254038179148,0.611111111111111
"9","EL",0.228915662650602,0.541751527494908,0.263157894736842,0.473226238286479,0.476572958500669,0.431649831649832,0.291079812206573,0.162341982701264,0.29295154185022,0.257861635220126,0.235668789808917,0.250880902043693,0.19375,0.223859649122807,0.253218884120172,0.210926694329184,0.182926829268293,0.46,0.133868808567604,0.24018629407851,0.252162341982701,0.422764227642276,0.496556473829201,0.186294078509647,0.372789115646258,0.299319727891156
"10","ES",0.354253835425384,0.31317494600432,0.212314225053079,0.508230452674897,0.512662559890486,0.422128259337562,0.39608636977058,0.210420841683367,0.298960831334932,0.315611814345992,0.308444444444444,0.303827751196172,0.289085545722714,0.331649831649832,0.285925925925926,0.2735781137509,0.313236313236313,0.473790322580645,0.186909581646424,0.322873082287308,0.347560975609756,0.421768707482993,0.441441441441441,0.375770020533881,0.528784648187633,0.368421052631579
"11","FI",0.594385964912281,0.613082811412665,0.588394062078273,0.568819308545336,0.569169960474308,0.469038208168643,0.843483955468238,0.66078431372549,0.629710144927536,0.612809315866084,0.584221748400853,0.576652601969058,0.470138888888889,0.643478260869565,0.682186234817814,0.651240778001341,0.625415834996673,0.738562091503268,0.533993399339934,0.576051779935275,0.702772404900064,0.813570487483531,0.614442295293359,0.552325581395349,0.7740225314778,0.698245614035088
"12","FR",0.430398796087284,0.563218390804598,0.46545768566494,0.464985994397759,0.512820512820513,0.418767507002801,0.566939890710383,0.406047516198704,0.469979296066253,0.49591280653951,0.466019417475728,0.41869918699187,0.392314566577301,0.439236111111111,0.463869463869464,0.448377581120944,0.426339285714286,0.586230402181322,0.322626695217702,0.197875166002656,0.324417009602195,0.564049586776859,0.423367697594502,0.257333333333333,0.505030181086519,0.439306358381503
"13","HR",0.324054246966453,0.415242165242165,0.244725738396624,0.603074772886094,0.552301255230126,0.442105263157895,0.413361169102296,0.14968814968815,0.328443357783211,0.307039864291773,0.318979266347687,0.350710900473934,0.269170579029734,0.243410852713178,0.258215962441315,0.246203037569944,0.263713080168776,0.5,0.245138888888889,0.343157894736842,0.34297520661157,0.527548209366391,0.496907216494845,0.354639175257732,0.617336152219873,0.379788101059495
