"","Country","q1","q2a_1","q2a_2","q2a_3","q2b_1","q2b_2","q2b_3","q3"
"1","AT",0.69432918395574,0.171717171717172,0.21025641025641,0.4375,0.59688013136289,0.630091438071488,0.760443307757886,0.628818061088977
"2","BE",0.615770609318996,0.257575757575758,0.333333333333333,0.354938271604938,0.547133138969874,0.54775828460039,0.712475633528265,0.581503659347971
"3","BU",0.408274785323966,0.227994227994228,0.214592274678112,0.334828101644245,0.547297297297297,0.530516431924883,0.624708624708625,0.492329149232915
"4","CY",0.479638009049774,0.195035460992908,0.170212765957447,0.39463601532567,0.589080459770115,0.585507246376812,0.709090909090909,0.336099585062241
"5","CZ",0.578494623655914,0.233333333333333,0.252100840336134,0.39031339031339,0.511111111111111,0.53030303030303,0.696581196581197,0.589638718473074
"6","DE",0.657471264367816,0.236111111111111,0.231481481481481,0.414285714285714,0.580645161290323,0.561571125265393,0.781720430107527,0.592427616926503
"7","DK",0.815527065527066,0.294871794871795,0.41025641025641,0.375,0.712589073634204,0.759935117599351,0.826439578264396,0.732638888888889
"8","EE",0.664819944598338,0.384615384615385,0.398692810457516,0.395348837209302,0.693045563549161,0.688327316486161,0.799525504151839,0.553623188405797
"9","ES",0.433106575963719,0.177685950413223,0.29957805907173,0.376933895921238,0.528070175438596,0.530141843971631,0.691489361702128,0.487770789657582
"10","FI",0.784679089026915,0.425287356321839,0.32183908045977,0.380952380952381,0.661351556567957,0.653846153846154,0.785822021116139,0.703401360544218
"11","FR",0.566666666666667,0.275757575757576,0.336363636363636,0.408163265306122,0.595607235142119,0.637179487179487,0.75032175032175,0.621345029239766
"12","EL",0.53589196872779,0.241516966067864,0.216962524654832,0.3640081799591,0.520979020979021,0.541666666666667,0.661988304093567,0.419753086419753
"13","HR",0.331835205992509,0.186790505675955,0.242616033755274,0.337662337662338,0.565359477124183,0.546925566343042,0.594059405940594,0.546693933197001
"14","HU",0.516233766233766,0.144808743169399,0.207282913165266,0.298550724637681,0.589098532494759,0.645833333333333,0.723684210526316,0.55011655011655
"15","IE",0.697503671071953,0.316455696202532,0.3125,0.329113924050633,0.63720073664825,0.610185185185185,0.776556776556777,0.68013468013468
"16","IT",0.458064516129032,0.272727272727273,0.309012875536481,0.412628487518355,0.56989247311828,0.592233009708738,0.674311926605505,0.526551503518874
"17","LT",0.611111111111111,0.258333333333333,0.254385964912281,0.346320346320346,0.548717948717949,0.551322751322751,0.621212121212121,0.529774127310062
"18","LU",0.697712418300654,0.333333333333333,0.384615384615385,0.58974358974359,0.408477842003854,0.395711500974659,0.727450980392157,0.726530612244898
"19","LV",0.531558185404339,0.165016501650165,0.15359477124183,0.231884057971014,0.636998254799302,0.643097643097643,0.731623931623932,0.471599402092676
"20","MT",0.579166666666667,0.196078431372549,0.347826086956522,0.433333333333333,0.535416666666667,0.552795031055901,0.696581196581197,0.733893557422969
"21","NL",0.722748815165877,0.451388888888889,0.375,0.4375,0.620879120879121,0.578458681522748,0.780821917808219,0.621739130434783
"22","PL",0.301401869158879,0.115131578947368,0.309684684684685,0.235159817351598,0.60573476702509,0.585964912280702,0.737588652482269,0.407786885245902
"23","PT",0.448550724637681,0.152298850574713,0.158931082981716,0.231638418079096,0.615,0.620034542314335,0.5,0.47808764940239
"24","RO",0.544901065449011,0.237745098039216,0.237410071942446,0.378787878787879,0.597575757575758,0.584837545126354,0.714637146371464,0.564795564795565
"25","SE",0.785714285714286,0.285714285714286,0.382352941176471,0.46078431372549,0.659112370160529,0.652257444764649,0.791423001949318,0.758985200845666
"26","SI",0.492211838006231,0.154618473895582,0.239520958083832,0.428270042194093,0.645480225988701,0.590395480225989,0.68695652173913,0.55741127348643
"27","SK",0.396565183450429,0.203346203346203,0.221779548472776,0.357723577235772,0.515981735159817,0.561771561771562,0.650900900900901,0.405673758865248
