"","Country","WVS_year","WVS_E265_01","WVS_E265_02","WVS_E265_03","WVS_E265_04","WVS_E265_05","WVS_E265_06","WVS_E265_07","WVS_E265_08","WVS_E236","WVS_E069_04","WVS_E069_06","WVS_E069_17","WVS_E069_11","WVS_E069_12","WVS_E069_07","WVS_E069_08","WVS_E069_18","WVS_A068","WVS_A080_01","WVS_E025","WVS_E026","WVS_E027","WVS_E028"
"1","AT",2018,0.80934101087652,0.840909090909091,0.438222222222222,0.779220779220779,0.535294117647059,0.798835705045278,0.757723577235772,0.951012410189419,0.71327275230621,0.379040560016471,0.735168195718654,0.623483446432243,0.429708778545988,0.371608832807571,0.473651191969887,0.535460992907801,0.426966292134831,0.0684178375076359,0.0757483200977398,0.700061462814997,0.322109275730623,0.348061029879212,0.145371577574967
"2","BU",2017,0.52954898911353,0.704504504504505,0.459495351925631,0.328140454995054,0.539584934665642,0.639492753623188,0.361037430002947,0.755532503457815,0.416086793864572,0.323218390804598,0.422178563632395,0.277441077441077,0.325701459034792,0.247397563676633,0.268646864686469,0.343130394215069,0.500691562932227,0.0473208072372999,0.0458651841556637,0.325260804769001,0.130716463414634,0.278064992614476,0.133693972179289
"3","CY",2019,0.659403669724771,0.738066586442038,0.484597156398104,0.560213727907933,0.493985254171517,0.598457166057653,0.562659846547315,0.787370103916866,0.568424681144433,0.414529914529915,0.562841530054645,0.529493891797557,0.430366492146597,0.293389890420643,0.379140239605356,0.471204188481675,0.443725278676735,0.216243654822335,0.193089430894309,0.481404958677686,0.265901981230448,0.452258726899384,0.387046632124352
"4","CZ",2022,0.684811237928007,0.736517218973359,0.509349955476402,0.661616161616162,0.567717454757735,0.654561558901683,0.612288786482335,0.841891499854946,0.598154362416107,0.43874404261284,0.599552572706935,0.551118663268196,0.383557800224467,0.324293785310734,0.407564211120519,0.517391304347826,0.469335604770017,0.0350584307178631,0.0350877192982456,0.477215189873418,0.265209940017138,0.340524534686971,0.315993121238177
"5","DE",2018,0.885302197802198,0.823903992162626,0.551467051467051,0.843719806763285,0.62864473991136,0.877675840978593,0.800538423886441,0.969013442697653,0.730951324160379,0.416555407209613,0.697751322751323,0.639792231255646,0.458894878706199,0.363885088919289,0.457619374000457,0.556981981981982,0.473647711511789,0.0629508196721311,0.138360655737705,0.790343915343915,0.362363387978142,0.546697798532355,0.18732970027248
"6","DK",2017,0.942733017377567,0.854871175523349,0.604908469120901,0.836820083682008,0.666666666666667,0.888291517323775,0.806891025641026,0.957417310358487,0.838003124272942,0.397694235588972,0.742112073255698,0.700200803212851,0.436493558776167,0.400588354635829,0.496895032051282,0.528521303258145,0.469410569105691,0.0588235294117647,0.234398327859062,0.70695915279879,0.451758481170246,0.538837920489297,0.425061804697157
"7","EE",2018,0.754960317460317,0.635596471039509,0.489728296885355,0.561056105610561,0.563151041666667,0.737192282102462,0.664082687338501,0.92711467736543,0.5917291146267,0.39456320929005,0.671665351223362,0.557581018518518,0.464008859357697,0.289977477477477,0.402526084568918,0.572621035058431,0.504970760233918,0.0230061349693252,0.0153374233128834,0.39850869925435,0.165236051502146,0.261200338123415,0.11244635193133
"8","ES",2017,0.853236098450319,0.804490177736202,0.367816091954023,0.766197183098592,0.552688172043011,0.741650913673598,0.685473411154345,0.842313546423135,0.632645368014325,0.397617068440011,0.594250967385296,0.485380116959064,0.293557422969188,0.278991596638655,0.387325944870702,0.487157775896133,0.51727115716753,0.0375626043405676,0.0823627287853577,0.525550660792952,0.190517998244074,0.527280477408355,0.252636203866432
"9","FI",2017,0.897169266320046,0.887657740843336,0.572786690433749,0.828579916815211,0.591095489162273,0.903857225100748,0.629563668744435,0.976211453744493,0.694515487354362,0.484335309060119,0.803576417993853,0.667513406717471,0.457094307561597,0.349369988545246,0.480980557903635,0.526405451448041,0.454858125537403,0.0771840542832909,0.166807790008467,0.682791095890411,0.457752613240418,0.395599654874892,0.169250645994832
"10","FR",2018,0.764515514943842,0.731041666666667,0.38702201622248,0.597981127935045,0.497339414671228,0.611919191919192,0.689525077674212,0.766327142001198,0.607440039158101,0.357944263481723,0.654033567948024,0.527625320160995,0.343428781204112,0.231772268135904,0.390102707749767,0.495628415300546,0.464600938967136,0.0230192719486081,0.0819057815845824,0.785252960172228,0.41351943076081,0.596661281637049,0.234554401312192
