"","Country","SPE_043_QA11_1","SPE_043_QA11_2","SPE_043_QA11_3","SPE_043_QA11_4","SPE_043_QA11_6","SPE_043_QA11_7"
"1","AT",0.695373184734887,0.671404399323181,0.640270727580372,0.61775927852931,0.646817248459959,0.607013738250181
"2","BE",0.607072691552063,0.629268292682927,0.570666666666667,0.595622895622896,0.616451932606541,0.569006442861987
"3","BG",0.450052576235542,0.568989071038251,0.637143837967731,0.539614561027837,0.553038105046344,0.542795232936078
"4","CY",0.637414965986395,0.640562248995984,0.60446247464503,0.537862703467799,0.544910179640719,0.527548209366391
"5","CZ",0.598632478632479,0.553643724696356,0.547959183673469,0.555673382820785,0.564598168870804,0.545093795093795
"6","DE",0.683720408392236,0.647739924293031,0.610073571024335,0.598210134821013,0.611595174262735,0.574803149606299
"7","DK",0.745846588900672,0.748525841137704,0.619205298013245,0.714491190219345,0.689996465182043,0.677277716794731
"8","EE",0.570646221248631,0.586374695863747,0.634239888423989,0.582128290693363,0.593398621690243,0.595769682726204
"9","EL",0.561066126855601,0.536740146960588,0.558037225042301,0.488243430152144,0.452931323283082,0.436248682824025
"10","ES",0.610088616223586,0.605200945626478,0.567687074829932,0.511041009463722,0.583759808938929,0.527107380202868
"11","FI",0.741880341880342,0.708584842387659,0.645419714385232,0.692307692307692,0.697979797979798,0.634831460674157
"12","FR",0.541484716157205,0.534098816979819,0.460806697108067,0.48542600896861,0.526928675400291,0.518229166666667
"13","HR",0.489434219495569,0.560161779575329,0.546625974906748,0.510535405872193,0.535230352303523,0.523357920618195
"14","HU",0.586183769282361,0.603736479842675,0.586719524281467,0.601528747092057,0.60295566502463,0.555211558307534
"15","IE",0.721815008726003,0.683760683760684,0.615003538570418,0.659929078014184,0.687737478411053,0.669992609016999
"16","IT",0.631631631631632,0.641938674579624,0.553381393752146,0.552543507362784,0.607414763323403,0.568982880161128
"17","LT",0.618507051943584,0.629107981220657,0.624113475177305,0.62214983713355,0.618012422360248,0.574074074074074
"18","LU",0.67013167013167,0.648738379814077,0.56758669497523,0.602617079889807,0.618,0.622770919067215
"19","LV",0.573934837092732,0.572927976836772,0.604693802713605,0.608324043106652,0.584974471188913,0.56336909018673
"20","MT",0.645183645183645,0.570192947438456,0.582813582813583,0.613556953179595,0.57979797979798,0.584214235377026
"21","NL",0.72108843537415,0.693802345058626,0.593461265103056,0.636524822695035,0.65952380952381,0.557389072240557
"22","PL",0.664243682935272,0.663265306122449,0.613553113553113,0.660390516039052,0.648760330578512,0.646422338568935
"23","PT",0.67571329157968,0.660782277604708,0.67627178939879,0.606942889137738,0.566421310900806,0.578729800826757
"24","RO",0.526753074111,0.57614800132144,0.550884217550884,0.514031485284052,0.529333333333333,0.53255895811334
"25","SE",0.67035175879397,0.64473246925889,0.584176977877765,0.647988505747126,0.605421686746988,0.589055793991416
"26","SI",0.575603126061842,0.563819095477387,0.500509683995923,0.515995872033024,0.525486250838364,0.482111229188806
"27","SK",0.52616789603091,0.485782802329565,0.48557525199861,0.503934191702432,0.473140495867769,0.4662285505659
