"","Country","FLE_507_Q7_6","FLE_507_Q7_7","FLE_507_Q7_8","FLE_507_Q8_1","FLE_507_Q8_2","FLE_507_Q8_3","FLE_507_Q1_1","FLE_507_Q3","FLE_507_Q4_1","FLE_507_Q4_2","FLE_507_Q4_3","FLE_507_Q4_4","FLE_507_Q4_5","FLE_507_Q4_6","FLE_507_Q5_1","FLE_507_Q5_2","FLE_507_Q7_2","FLE_507_Q7_4","FLE_507_Q7_5"
"1","AT",0.483618233618234,0.634016704631739,0.512761020881671,0.54669540229885,0.5960219478738,0.550438596491228,0.714094856379425,0.448559670781893,0.624,0.523936170212766,0.440831074977416,0.439862542955326,0.353302611367127,0.385918003565062,0.516323024054983,0.480682839173405,0.452279202279202,0.657805044308112,0.489122807017544
"2","BE",0.439393939393939,0.454074074074074,0.402587519025875,0.47688060731539,0.591836734693878,0.483673469387755,0.627858627858628,0.422360248447205,0.523479599692071,0.517401392111369,0.481308411214953,0.45353982300885,0.435779816513761,0.488837567359507,0.465631929046563,0.446088794926004,0.504255319148936,0.61189044756179,0.440725244072524
"3","BU",0.196844993141289,0.470545977011494,0.168384879725086,0.391217564870259,0.33531746031746,0.273386034255599,0.369781312127237,0.166666666666667,0.263252470799641,0.267441860465116,0.229951690821256,0.268959435626102,0.156528791565288,0.276938569989929,0.181526104417671,0.185542168674699,0.236139630390144,0.480895915678524,0.133597883597884
"4","CY",0.225806451612903,0.555023923444976,0.144654088050314,0.38301282051282,0.400921658986175,0.395173453996983,0.266362252663623,0.17601246105919,0.265625,0.260416666666667,0.242424242424242,0.23968253968254,0.202614379084967,0.222789115646259,0.272884283246978,0.216216216216216,0.151376146788991,0.45045045045045,0.136085626911315
"5","CZ",0.404558404558405,0.440629470672389,0.352941176470588,0.524407252440725,0.54989816700611,0.489168413696716,0.606891701828411,0.375174337517434,0.468537414965986,0.462875197472354,0.457345971563981,0.437641723356009,0.347407407407407,0.486746987951807,0.37563822027717,0.417777777777778,0.390415785764623,0.641750841750842,0.383712905452036
"6","DE",0.470675575352635,0.524256651017214,0.420652999240699,0.55812324929972,0.58491895701198,0.537728937728938,0.824949698189135,0.515991471215352,0.611111111111111,0.546835443037975,0.522727272727273,0.51921568627451,0.483057525610717,0.483516483516484,0.608730158730159,0.558086560364465,0.575692963752665,0.602951039570758,0.533477321814255
"7","DK",0.583972719522592,0.586991869918699,0.578048780487805,0.646443514644351,0.670894996476392,0.6206652512385,0.897849462365591,0.750700280112045,0.665735567970205,0.627391742195368,0.593582887700535,0.598222222222222,0.561447811447811,0.675023212627669,0.687203791469194,0.684252597921663,0.687224669603524,0.845995893223819,0.667389732465654
"8","EE",0.583897667419112,0.6,0.512304250559284,0.632208157524613,0.62962962962963,0.4620886981402,0.872325741890959,0.576980568011958,0.608652900688299,0.622685185185185,0.490853658536585,0.519230769230769,0.4349376114082,0.515638963360143,0.593806921675774,0.540444444444444,0.581481481481481,0.738144329896907,0.480932203389831
"9","EL",0.263230240549828,0.549060542797495,0.272790535838553,0.479757085020243,0.536999321113374,0.460027100271003,0.273279352226721,0.183673469387755,0.315295815295815,0.266081871345029,0.257100149476831,0.282217422606191,0.224113475177305,0.248927038626609,0.305059523809524,0.230713245997089,0.209621993127148,0.456913827655311,0.180666666666667
"10","ES",0.409405255878285,0.312633832976445,0.198198198198198,0.494866529774127,0.525667351129363,0.414414414414414,0.42442645074224,0.24421768707483,0.390564578499613,0.335648148148148,0.423510466988728,0.379099923722349,0.316702819956616,0.380196523053666,0.357843137254902,0.323590814196242,0.294817927170868,0.506198347107438,0.201232032854209
"11","FI",0.495708154506438,0.527593818984547,0.487787356321839,0.514715947980835,0.524779361846572,0.4,0.807302231237322,0.65076071922545,0.664367816091954,0.631004366812227,0.590909090909091,0.589247311827957,0.504720406681191,0.624538063562454,0.656964656964657,0.629166666666667,0.589430894308943,0.698125836680054,0.494887525562372
"12","FR",0.444199706314244,0.511214230471771,0.433333333333333,0.441196938065414,0.485910652920962,0.415629322268326,0.68295994568907,0.475479744136461,0.488311688311688,0.528497409326425,0.448683015440509,0.431235431235431,0.426900584795322,0.463291139240506,0.499249249249249,0.466076696165192,0.447557471264368,0.569188820722563,0.355555555555556
"13","HR",0.310272536687631,0.383125864453665,0.264202600958248,0.572895277207392,0.519727891156463,0.443312966734555,0.351020408163265,0.135650988411725,0.292703150912106,0.276078431372549,0.33179012345679,0.321016166281755,0.23037037037037,0.219317356572259,0.239446870451237,0.239939255884586,0.273177636234961,0.471102150537634,0.258585858585859
"14","HU",0.312747426761679,0.476068376068376,0.261326860841424,0.404084609773888,0.421886249100072,0.395694135115071,0.553250345781466,0.247660187185025,0.37962962962963,0.373177842565598,0.345539906103286,0.406815761448349,0.219618055555556,0.286486486486486,0.320617620345141,0.342723004694836,0.394590294351631,0.525584795321637,0.226217228464419
