"","Country","FLE_519_q1","FLE_519_q2a_1","FLE_519_q2a_2","FLE_519_q2a_3"
"1","AT",0.71037114117239,0.265232974910394,0.325670498084291,0.367424242424242
"2","BE",0.573956121726822,0.308771929824561,0.31924882629108,0.459096459096459
"3","BU",0.351711711711712,0.232374506486182,0.20345596432553,0.3700414446418
"4","CY",0.501424501424501,0.146464646464646,0.191201353637902,0.386054421768707
"5","CZ",0.583423423423423,0.267676767676768,0.301282051282051,0.397135416666667
"6","DE",0.691531531531531,0.302158273381295,0.306763285024155,0.480099502487562
"7","DK",0.776534418446931,0.350210970464135,0.456140350877193,0.350649350649351
"8","EE",0.636897274633124,0.253846153846154,0.295739348370927,0.290666666666667
"9","ES",0.412021857923497,0.153751537515375,0.255305867665418,0.367167919799499
"10","FI",0.723374827109267,0.409961685823755,0.403100775193798,0.454212454212454
"11","FR",0.531562740569669,0.312636165577342,0.358469945355191,0.433106575963719
"12","EL",0.456378171706639,0.218771566597654,0.216459197786999,0.398872445384073
"13","HR",0.288448155880306,0.152482269503546,0.240162822252374,0.361982719417917
"14","HU",0.452876984126984,0.203407880724175,0.27438370846731,0.334405144694534
"15","IE",0.646886446886447,0.285163776493256,0.387225548902196,0.380116959064327
"16","IT",0.436196535878402,0.325102880658436,0.313131313131313,0.445578231292517
"17","LT",0.552211073950204,0.245614035087719,0.264988009592326,0.305250305250305
"18","LU",0.688195991091314,0.404761904761905,0.285714285714286,0.428571428571429
"19","LV",0.515275877792978,0.212230215827338,0.202898550724638,0.360294117647059
"20","MT",0.593208593208593,0.204597701149425,0.343065693430657,0.411764705882353
"21","NL",0.673839184597961,0.322510822510823,0.35632183908046,0.4
"22","PL",0.319414703783012,0.149019607843137,0.327777777777778,0.294656488549618
"23","PT",0.524175824175824,0.206106870229008,0.127946127946128,0.335087719298246
"24","RO",0.496054114994363,0.241830065359477,0.284259259259259,0.464734299516908
"25","SE",0.737316798196167,0.393081761006289,0.448844884488449,0.37
"26","SI",0.492097701149425,0.136162687886826,0.222527472527473,0.383424408014572
"27","SK",0.395541172240201,0.172433679354095,0.229489386115892,0.342198581560284
