"","Country","GCB_Q2","GCB_Q3","GCB_Q5_1","GCB_Q5_2","GCB_Q5_3","GCB_Q5_4","GCB_Q5_5","GCB_Q5_6","GCB_Q5_7","GCB_Q8_1","GCB_Q8_2","GCB_Q8_3","GCB_Q8_4","GCB_Q8_5","GCB_Q8_6","GCB_Q9_1","GCB_Q9_2","GCB_Q9_3","GCB_Q9_4","GCB_Q9_5","GCB_Q9_6","GCB_Q19_5","GCB_Q20_1","GCB_Q20_2"
"1","AT",0.469023185100722,0.450692041522491,0.84830805134189,0.696407879490151,0.654377880184332,0.681276432141484,0.680603948896632,0.764348156594451,0.78215527230591,0.821342925659472,0.799854439592431,0.871980676328502,0.803921568627451,0.861666666666667,0.858974358974359,0.944645006016847,0.965141612200436,0.97479674796748,0.937810945273632,0.975124378109453,0.970873786407767,0.324169530355097,0.390285714285714,0.445818610129564
"2","FR",0.383635334088335,0.418639496553791,0.634520706631914,0.660384766391834,0.582408198121264,0.628024868483979,0.66789319747146,0.67837582625118,0.695308782947949,0.800245098039216,0.797426120114395,0.788663663663664,0.754085898897757,0.809722222222222,0.713091922005571,0.987867758568395,0.986242884250474,0.984162474380473,0.984504913076342,0.984281091077208,0.984259259259259,0.385553997194951,0.37645390070922,0.458635703918723
"3","DE",0.528710083722309,0.410076683441169,0.871749539594843,0.823537948048179,0.653188405797101,0.70599457040135,0.678581744656268,0.723515883283024,0.773245614035088,0.91783762685402,0.906174626145683,0.94575002922951,0.926818950930626,0.957627118644068,0.943100358422939,0.989147286821705,0.991946147373482,0.993580765639589,0.99328295549958,0.993087557603687,0.991521642124052,0.278889125345818,0.34855057130766,0.465464144302684
"4","EL",0.306400231682595,0.487291849255039,0.74222668004012,0.589600742804085,0.470070422535211,0.542778288868445,0.533805727782699,0.611451942740286,0.605815347721823,0.906060606060606,0.785345717234262,0.868249534450652,0.891472868217054,0.881981981981982,0.896207584830339,0.986363636363636,0.921296296296296,0.970629370629371,0.980066445182724,0.991913746630728,0.984031936127745,0.283653846153846,0.232444444444444,0.455615942028986
"5","HU",0.288198757763975,0.362403100775194,0.656067832538421,0.550490196078431,0.481123388581952,0.554099951479864,0.658503401360544,0.689718764407561,0.644607843137255,0.841194968553459,0.778666666666667,0.869360269360269,0.850574712643678,0.873456790123457,0.869565217391304,0.977883096366509,0.904380341880342,0.983805668016194,0.971264367816092,0.987538940809969,0.971014492753623,0.352059925093633,0.385049365303244,0.344887955182073
"6","IE",0.567148760330578,0.497907949790795,0.905008635578584,0.79153550192375,0.684356573014221,0.715343915343915,0.715270596346088,0.709270620313565,0.790070921985816,0.893333333333333,0.881145326850351,0.923850574712644,0.902640264026403,0.929188255613126,0.916666666666667,0.982804232804233,0.990275526742301,0.990007137758744,0.991789819376026,0.994845360824742,1,0.571060762100927,0.483175604626709,0.455836776859504
"7","IT",0.235844748858447,0.413371675053918,0.837637494021999,0.743165467625899,0.557860765329645,0.587102760380422,0.607534246575342,0.679063360881543,0.63216011042098,0.85472972972973,0.804474708171206,0.868505747126437,0.860438292964245,0.87378640776699,0.85792349726776,0.984822934232715,0.980563654033042,0.981149425287356,0.986159169550173,0.987012987012987,0.990892531876138,0.378031878031878,0.299535050071531,0.442348377997179
"8","LV",0.274609640190088,0.486067297581493,0.759279676589489,0.674217907227616,0.528888888888889,0.569602763385147,0.570592286501377,0.654030054644809,0.663829787234043,0.874015748031496,0.83210332103321,0.919938414164742,0.905829596412556,0.857506361323155,0.901234567901235,0.985507246376812,0.940740740740741,0.990719257540603,0.99702380952381,0.979487179487179,0.993710691823899,0.23499491353001,0.383558091286307,0.325920245398773
"9","LT",0.318371607515658,0.5375,0.813459268004723,0.636536994660564,0.547242711626273,0.625,0.594899817850638,0.678905687544996,0.610380116959064,0.904593639575972,0.858757062146893,0.923951670220327,0.9453125,0.941496598639456,0.90625,0.984687868080094,0.905500705218618,0.975937721160651,0.993955094991364,0.978231292517007,0.984126984126984,0.266492146596859,0.386338495575221,0.464208242950108
"10","LU",0.586894586894587,0.460048426150121,NA,0.800601956358164,0.705580029368576,0.699331848552339,0.691595441595442,0.734035087719298,0.808779761904762,0.846320346320346,0.848653667595172,0.879408418657565,0.875,0.917562724014337,0.874213836477987,1,0.993500464252553,0.992036405005688,0.995833333333333,1,1,0.50103734439834,0.423076923076923,0.430245535714286
"11","MT",0.335447498238196,0.468682505399568,0.917047184170472,0.724569640062598,0.625664388762339,0.669811320754717,0.745336577453366,0.725093632958801,0.734901960784314,0.831460674157303,0.841856060606061,0.868571428571429,0.846666666666667,0.865740740740741,0.868421052631579,0.98876404494382,0.990583804143126,0.988571428571429,0.976897689768977,1,1,0.452731092436975,0.415094339622642,0.391540130151844
"12","BE",0.482676224611708,0.456493506493507,NA,0.708069286016054,0.641821946169772,0.634552845528455,0.649432040736388,0.674473067915691,0.723027375201288,0.852739726027397,0.845195729537367,0.878854625550661,0.838235294117647,0.889807162534435,0.812260536398467,0.972602739726027,0.969858156028369,0.97870778267254,0.97875816993464,0.982167352537723,0.957364341085271,0.398052691867125,0.389697322467986,0.466288782816229
"13","NL",0.537971014492754,0.391411870503597,NA,0.782237403928266,0.716006884681583,0.674131495836922,0.703384968445209,0.686740175289794,0.790304073436604,0.903703703703704,0.916558018252933,0.936386768447837,0.896755162241888,0.914529914529915,0.905405405405405,0.991534391534391,0.996957844415472,0.996168582375479,0.994152046783626,0.996598639455782,0.986486486486487,0.488983050847458,0.415322580645161,0.506034482758621
"14","PL",0.310199257007768,0.406870428422153,0.651268115942029,0.571175950486295,0.561973525872443,0.551455301455301,0.6229112833764,0.682918395573997,0.647342995169082,0.89136302294197,0.779237844940867,0.927720413026211,0.95985060690943,0.91421568627451,0.933665008291874,0.979082321187584,0.95194206714944,0.99023489047242,0.996285979572888,0.97051597051597,0.984166666666667,0.279462102689487,0.358303707465719,0.387982195845697
"15","PT",0.194303153611394,0.369644723092999,0.817297297297297,0.696415770609319,0.565667011375388,0.619742787625999,0.618453000346861,0.683831101956746,0.643821391484943,0.747276688453159,0.722222222222222,0.764214046822742,0.718238993710692,0.813102119460501,0.753968253968254,0.989106753812636,0.988124488124488,0.989391401451703,0.983647798742138,0.988372093023256,0.994750656167979,0.284842319430315,0.317966280295047,0.424845041322314
"16","RO",0.218752803947959,0.37718949044586,0.540392383150606,0.499572284003422,0.422837813128543,0.482629107981221,0.534123266280885,0.586539336061846,0.590817790530846,0.86025641025641,0.781477627471384,0.874767744332962,0.88135593220339,0.871021775544389,0.878205128205128,0.936615186615187,0.861154718297575,0.954934823091248,0.948979591836735,0.959966287399916,0.959372114496768,0.309714918350401,0.309641712787649,0.364495798319328
"17","SK",0.231264127977743,0.561300054854635,0.833806012478729,0.605536332179931,0.497592592592593,0.554193422844911,0.612372304199773,0.60785408524102,0.516968325791855,0.927118644067797,0.872008062484253,0.931071049840933,0.945181255526083,0.925213675213675,0.877777777777778,0.97909604519774,0.958962739174219,0.980810234541578,0.990222222222222,0.979928315412186,0.957494407158837,0.344715447154472,0.28470715835141,0.454366197183099
